,id bitacora,id atencion,cluster
162,21642,24190.0,0
163,21641,24392.0,7
164,21630,23787.0,7
165,21628,24321.0,7
166,21627,22404.0,4
167,21626,24391.0,4
168,21625,24193.0,7
169,21614,23363.0,7
170,21613,23359.0,0
171,21612,24628.0,2
172,21610,24964.0,1
173,21609,24133.0,3
174,21607,22666.0,3
175,21606,24938.0,4
176,21602,24661.0,6
177,21595,24953.0,6
178,21594,24952.0,6
179,21591,23907.0,6
180,21589,23580.0,3
181,21585,23791.0,6
182,21580,23906.0,6
183,21579,22438.0,3
184,21578,22752.0,7
185,21561,24315.0,7
186,21560,24195.0,7
187,21550,23032.0,8
188,21543,22665.0,3
189,21542,23461.0,1
190,21541,23506.0,3
191,21540,23516.0,3
192,21539,23775.0,3
193,21538,23615.0,1
194,21537,22664.0,3
195,21535,23525.0,2
196,21511,24832.0,1
197,21510,24833.0,1
198,21508,23531.0,1
199,21507,23573.0,1
200,21506,23453.0,1
201,21505,23462.0,1
202,21504,23467.0,1
203,21503,23593.0,1
204,21502,24138.0,1
205,21501,23780.0,1
206,21496,23538.0,3
207,21495,23627.0,8
208,21494,24665.0,8
209,21493,24668.0,8
210,21492,24673.0,1
211,21489,24376.0,1
212,21487,24664.0,8
213,21486,24663.0,8
214,21485,24662.0,8
215,21472,24738.0,7
216,21471,23602.0,6
217,21465,20350.0,6
218,21459,23374.0,6
219,21429,24696.0,2
220,21427,23541.0,3
221,21426,23611.0,3
222,21424,23458.0,3
223,21416,23084.0,1
224,21415,23774.0,1
225,21414,23502.0,1
226,21413,23802.0,1
227,21412,23402.0,1
228,21411,23740.0,1
229,21410,23377.0,1
230,21409,23086.0,1
231,21395,22017.0,7
232,21386,24026.0,3
233,21383,23438.0,3
234,21382,23518.0,2
235,21381,23652.0,7
236,21370,24627.0,2
237,21366,23225.0,7
238,21365,23224.0,7
239,21363,23227.0,7
240,21362,23448.0,7
241,21359,23407.0,6
242,21358,23378.0,7
243,21356,24130.0,7
244,21354,23392.0,4
245,21346,23400.0,1
246,21342,23408.0,1
247,21341,23418.0,1
248,21337,24021.0,3
249,21332,22799.0,2
250,21327,23181.0,6
251,21317,24304.0,8
252,21316,24296.0,8
253,21315,23622.0,8
254,21314,24297.0,8
255,21313,24294.0,8
256,21312,24295.0,8
257,21311,24319.0,6
258,21307,24218.0,1
259,21306,24217.0,1
260,21305,23281.0,1
261,21304,23724.0,1
262,21303,23029.0,8
263,21298,23952.0,7
264,21292,23333.0,6
265,21291,21507.0,6
266,21290,23331.0,6
267,21284,23695.0,3
268,21283,24373.0,3
269,21282,23399.0,3
270,21281,23757.0,3
271,21279,23747.0,3
272,21278,24372.0,3
273,21277,22083.0,3
274,21276,23066.0,0
275,21271,24390.0,2
276,21270,24284.0,2
277,21266,24356.0,2
278,21265,24581.0,6
279,21264,24395.0,6
280,21258,24380.0,2
281,21256,24378.0,2
282,21255,24377.0,2
283,21254,23464.0,2
284,21250,24396.0,7
285,21249,22955.0,7
286,21239,23727.0,4
287,21235,24582.0,1
288,21228,23821.0,2
289,21225,24062.0,2
290,21217,23409.0,1
291,21216,23383.0,1
292,21211,24403.0,7
293,21205,23732.0,6
294,21202,24122.0,6
295,21199,23296.0,3
296,21197,23330.0,1
297,21196,23279.0,1
298,21195,24131.0,7
299,21194,23427.0,1
300,21193,23425.0,1
301,21186,24167.0,6
302,21174,23340.0,3
303,21173,23369.0,3
304,21168,22663.0,3
305,21166,22662.0,3
306,21162,22661.0,3
307,21158,23297.0,2
308,21155,23294.0,6
309,21152,22882.0,1
310,21150,22872.0,1
311,21145,23326.0,6
312,21144,21958.0,6
313,21138,23419.0,6
314,21123,23420.0,3
315,21120,23322.0,1
316,21118,23353.0,1
317,21117,23339.0,1
318,21116,23286.0,1
319,21115,23368.0,1
320,21114,23735.0,1
321,21113,24283.0,1
322,21092,23062.0,7
323,21090,23371.0,3
324,21088,24314.0,7
325,21079,22454.0,7
326,21078,23327.0,6
327,21077,24112.0,6
328,21076,22570.0,3
329,21074,22753.0,6
330,21073,22456.0,5
331,21072,21990.0,7
332,21071,24192.0,7
333,21070,22140.0,7
334,21068,21370.0,6
335,21067,22907.0,2
336,21066,22084.0,3
337,21065,20911.0,6
338,21064,21367.0,3
339,21034,23651.0,3
340,21031,21866.0,3
341,21009,23950.0,6
342,21008,22893.0,1
343,21007,22865.0,1
344,21006,23085.0,1
345,21005,23083.0,1
346,21000,23065.0,7
347,20999,22403.0,4
348,20998,22400.0,7
349,20990,23389.0,3
350,20989,24024.0,3
351,20988,23716.0,3
352,20987,22100.0,2
353,20986,23417.0,3
354,20983,22755.0,3
355,20981,23058.0,7
356,20977,24188.0,7
357,20976,23031.0,8
358,20974,21444.0,8
359,20972,23332.0,3
360,20971,22660.0,4
361,20970,22659.0,3
362,20969,23290.0,3
363,20968,23382.0,6
364,20967,22006.0,7
365,20962,23358.0,7
366,20956,24194.0,7
367,20949,24215.0,1
368,20947,22785.0,2
369,20945,24216.0,3
370,20917,23626.0,8
371,20916,23628.0,8
372,20910,24004.0,6
373,20907,24114.0,8
374,20905,22809.0,2
375,20903,23898.0,7
376,20902,21842.0,7
377,20899,23895.0,7
378,20895,21088.0,7
379,20891,24146.0,2
380,20888,22783.0,3
381,20886,23190.0,4
382,20885,23667.0,3
383,20884,22870.0,3
384,20883,23912.0,3
385,20882,22894.0,6
386,20881,23972.0,3
387,20880,23914.0,3
388,20879,22786.0,6
389,20874,23180.0,6
390,20873,24151.0,7
391,20872,22877.0,4
392,20871,24149.0,6
393,20870,22743.0,2
394,20869,24066.0,1
395,20866,21513.0,7
396,20865,23018.0,2
397,20864,23061.0,7
398,20863,23051.0,7
399,20845,22789.0,3
400,20842,22697.0,3
401,20834,23680.0,1
402,20832,23971.0,1
403,20831,22097.0,1
404,20830,22875.0,1
405,20829,22761.0,1
406,20827,23970.0,2
407,20826,23969.0,2
408,20820,23861.0,6
409,20819,23641.0,6
410,20818,22747.0,3
411,20817,23640.0,6
412,20816,24020.0,3
413,20814,22048.0,1
414,20810,22881.0,7
415,20809,22841.0,3
416,20807,22186.0,7
417,20790,23057.0,7
418,20789,23064.0,7
419,20786,22402.0,4
420,20784,23624.0,8
421,20783,23630.0,8
422,20782,23621.0,8
423,20781,23625.0,8
424,20780,23249.0,7
425,20778,23897.0,7
426,20770,23967.0,2
427,20766,22844.0,3
428,20765,21508.0,3
429,20763,22862.0,3
430,20762,23221.0,6
431,20761,22812.0,6
432,20760,23911.0,3
433,20759,22803.0,6
434,20758,22520.0,6
435,20737,22749.0,1
436,20735,22760.0,1
437,20731,22756.0,1
438,20730,22806.0,1
439,20729,22805.0,1
440,20728,22698.0,1
441,20727,22773.0,1
442,20726,22746.0,1
443,20725,22770.0,1
444,20722,23666.0,1
445,20721,23257.0,1
446,20720,22867.0,1
447,20708,23968.0,2
448,20707,22771.0,2
449,20693,23935.0,3
450,20692,21181.0,3
451,20688,22804.0,3
452,20679,24003.0,6
453,20669,22876.0,3
454,20660,21957.0,6
455,20658,22395.0,7
456,20657,20633.0,7
457,20652,22004.0,2
458,20650,23087.0,1
459,20649,22051.0,1
460,20643,23081.0,1
461,20642,23082.0,1
462,20636,23650.0,3
463,20635,22750.0,3
464,20634,23655.0,3
465,20633,22658.0,3
466,20632,23679.0,2
467,20630,23909.0,3
468,20627,23856.0,3
469,20625,23863.0,3
470,20618,21986.0,7
471,20604,22790.0,3
472,20593,22868.0,2
473,20591,21636.0,2
474,20588,23646.0,3
475,20583,21918.0,2
476,20582,21484.0,6
477,20581,21841.0,7
478,20580,23060.0,7
479,20579,23822.0,3
480,20576,23052.0,7
481,20575,22056.0,1
482,20574,22019.0,1
483,20569,22049.0,6
484,20566,22001.0,6
485,20563,21998.0,8
486,20561,23823.0,4
487,20552,22047.0,7
488,20537,22096.0,1
489,20535,22759.0,6
490,20534,22203.0,1
491,20518,23648.0,3
492,20517,23645.0,3
493,20515,23649.0,3
494,20513,23654.0,3
495,20503,23647.0,1
496,20491,21443.0,8
497,20490,22652.0,8
498,20488,21087.0,7
499,20485,22399.0,7
500,20483,21997.0,0
501,20481,22398.0,4
502,20480,22149.0,3
503,20479,21835.0,7
504,20476,22139.0,3
505,20474,23050.0,7
506,20473,22059.0,1
507,20472,21996.0,6
508,20471,22657.0,3
509,20468,22953.0,7
510,20467,23236.0,1
511,20465,23093.0,1
512,20464,23092.0,1
513,20463,23091.0,1
514,20462,22573.0,1
515,20460,22952.0,1
516,20454,22950.0,1
517,20450,22951.0,1
518,20444,22949.0,1
519,20443,23179.0,6
520,20427,21956.0,6
521,20415,23173.0,2
522,20413,22247.0,7
523,20408,22016.0,6
524,20405,22057.0,3
525,20401,22079.0,3
526,20396,22087.0,3
527,20394,21995.0,3
528,20388,22156.0,6
529,20383,22002.0,3
530,20370,22011.0,3
531,20368,21992.0,3
532,20366,21512.0,8
533,20363,23094.0,6
534,20360,23098.0,6
535,20359,22080.0,2
536,20335,22085.0,1
537,20332,22189.0,1
538,20331,22144.0,1
539,20322,22101.0,3
540,20320,23187.0,3
541,20318,22645.0,8
542,20317,23168.0,8
543,20316,22647.0,8
544,20315,22648.0,8
545,20313,22643.0,8
546,20312,22642.0,8
547,20311,22644.0,8
548,20310,22782.0,8
549,20309,22793.0,8
550,20308,22654.0,8
551,20303,23255.0,1
552,20301,23030.0,8
553,20290,22158.0,7
554,20286,23067.0,3
555,20268,22566.0,2
556,20267,23172.0,2
557,20266,23171.0,2
558,20252,22908.0,1
559,20250,22236.0,1
560,20245,22655.0,2
561,20244,22194.0,1
562,20243,22201.0,1
563,20242,23089.0,1
564,20240,22150.0,1
565,20239,22099.0,1
566,20238,21896.0,1
567,20237,21336.0,3
568,20236,22153.0,3
569,20235,22656.0,3
570,20234,22062.0,2
571,20231,23056.0,0
572,20230,22014.0,1
573,20229,22199.0,1
574,20228,22054.0,2
575,20227,22143.0,1
576,20226,22050.0,1
577,20225,23075.0,1
578,20221,23178.0,6
579,20211,23147.0,1
580,20209,22009.0,2
581,20197,22575.0,1
582,20196,23080.0,3
583,20192,20299.0,3
584,20187,22145.0,3
585,20170,22185.0,7
586,20167,23014.0,2
587,20163,22147.0,7
588,20156,22903.0,3
589,20153,23097.0,2
590,20147,23016.0,7
591,20146,21478.0,3
592,20143,23063.0,7
593,20142,22152.0,1
594,20141,21524.0,1
595,20140,20120.0,1
596,20139,22397.0,6
597,20138,22401.0,4
598,20137,21537.0,7
599,20123,22055.0,4
600,20110,23015.0,7
601,20107,21869.0,3
602,20106,21738.0,7
603,20091,22906.0,6
604,20075,21837.0,7
605,20070,22159.0,1
606,20067,21698.0,1
607,20066,21527.0,1
608,20065,22902.0,1
609,20061,22378.0,7
610,20059,21442.0,8
611,20057,22572.0,1
612,20054,22571.0,1
613,20048,21590.0,4
614,20047,21653.0,4
615,20045,21868.0,2
616,20044,21575.0,2
617,20043,22370.0,2
